,Company Name,Recruitment Type,Company  Reqirements
0,Intellicon Pvt Ltd - Gandhinagar,"On Campus
Through GTU ITAP Cell
","Diploma/BE (EC) with good communication and computer skills,ccountable for stock planning and stock forecast"
1,Just Green,On Campus,"Web development,Mobile application development (Android/iOS/ React native)
,ChatBot (Artificial intelligence), Javascript"
2,WhiteLion,On Campus,"Excellent knowledge of MS Office.,Highly motivated and target driven., Excellent selling, communication and negotiation skills., Prioritizing, time management and organizational skills., Ability to create and deliver presentations tailored to the audience needs., Relationship management skills and openness to feedback.,Preferred localise., BBA/MBA/BE degree or equivalent."
3,D-mart,On Campus,"BE Electrical with no active backlogs
60% throughout (10th, 12th & BE Aggregate)
MALE CANDIDATES ONLY

Under Graduate Qualification BE / B.Tech (Electrical) Minimum Marks 60% No Backlogs Accepted"
4,National Group,On Campus,English must be good
5,Reliance Jio Infocomm Limited,On Campus," B.E. / B. Tech (Computer Science / Information Technology / Electronics & Telecommunications)

- 2017 batch with First class in 10th, 12th and Engineering(min aggregate-60%). No year drops during Engineering."
6,UNIVERSAL EDUCATION,On Campus,Abroad Admission Assistant & Counsellor
7,"SMIS
(Internship)
Only 3rd Year & Final Year",On Campus,Abroad Admission Assistant & Counsellor
8,AXIS Securities Ltd,On Campus,"Team player,learn the new things within a short time span,good communication & inter-personal skills"
9,Veena Computers,On Campus,"Textile Technicians ,dyeing and printing textiles,evaluating, identifying and selecting fabrics/products from suppliers,checking products for suitability and testing for performance under various condition,Data analysis and MIS preparation."
10,NatRIX Software Pvt.Ltd,On Campus," Good communication skill,  Teamwork,Negotiation & persuasion,Problem solving, Ability to work under pressure,  Perseverance and motivation,.Net Developer ,MySQL, MongoDB, SQLite, UI, Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.  "
11,"ATLUZ      
(AIW)",On Campus," programing and should have very well understood the OOP’s concepts with reference to dot net technologies,logical reasoning ,Microsoft technologies with C# and MS SQL,HTML and JavaScript"
12,Hexxa Geo Systems,On Campus," Pre-sales engineer. Sales engineer,Service enginee"
13,YOLOdestin Networking Private Limited (Internship),"On Campus
Internship","Buisness development,Marketing,Administartion,Graphic designer,Web Developer"
14,"9spl
13-07-2017",On Campus,Web Portals & Mobile Apps
15,Fairdeal Filaments Ltd.,On Campus,"Fabric Design & devp.,Lab Assistant-yarn Dyeing,Loom Technician,Trainee loom Technician"
16,Orail - OptigoApps,On Campus," ASP.NET, C# Web Application Developer,Application Tester / Quality Assurance,Project Co-ordinator,UI DESIGNER   - Jquery, css, HTML ,Creative Designer, Good Communication, business development ,Software Customer Service"
17,"L&T, Hazira",On Campus/ Pooled Campus,"Awareness of Supply-chain,Business Support"
18,Mercury Management & Technical Services Pvt. Ltd.,On Campus,"leadership qualities,excellent Planning Skills
,high level analytical skills,convincing communicator,making and problem solving capabilities,Sigma, Kaizen"
19,"McDonald's India
Job Location
Surat
Part Time",On Campus,"12th pass,Works as a team member"
20,BlissQuants,On Campus,"Mysql ,PHP, JavaScript, CSS, Bootstrap, HTML,  Java, C, C++, Excel and VB programming,"
21,"Firstnaukri
(Vasundhara Vision)",Through Placement Agency,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.,iOS Application Developer"
22,skillVentory,On Campus,"xplore breadth as well as depth of technologies on web, desktop, mobile, server, cloud, RDBMS, NoSQL.
 Develop an understanding of Technology in the domain of ECommerce, Investment Banking, BFSI, Analytics, Security, Telecom, etc
 Research Technologies / potential clients / industry trends
 Comprehend and / or Negotiate client requirements
 Plan and execute sourcing strategy
 Proactively target relevant skills and screen
 Actively maintain a network of resources for future requirements
 Engage contact to create lasting relationships
 Focus on client needs– disciplined attention to understanding client needs, and using insights gained through relationship to deliver qualified candidates
 Deliver Results within SLA– passion to win / ability to develop goals, produce
 Improvise on strategies making necessary adjustments to accomplish the goals."
23,CatalyseR,On Campus," Physics, Chemistry, Mathematics, Social Science & Biology,Faculty position"
24,"VURO
(campus Ambassador Program)",On Campus,"leadership ,interpersonal skills,proactive, creative and enthusiastic,"
