,Notice Posted On,Company Name,Eligibility,Job Description & Application Link,Recruitment Type,Company  Reqirements
1,,Intellicon Pvt Ltd - Gandhinagar,EC,https://goo.gl/YNYZYw,"On Campus
Through GTU ITAP Cell
","Diploma/BE (EC) with good communication and computer skills,ccountable for stock planning and stock forecast"
2,,Just Green,"CO
IT
MCA",https://goo.gl/1V8dbm,On Campus,"Web development,Mobile application development (Android/iOS/ React native)
,ChatBot (Artificial intelligence), Javascript"
3,,WhiteLion,All,https://goo.gl/wEMsb9,On Campus,"Excellent knowledge of MS Office.,Highly motivated and target driven., Excellent selling, communication and negotiation skills., Prioritizing, time management and organizational skills., Ability to create and deliver presentations tailored to the audience needs., Relationship management skills and openness to feedback.,Preferred localise., BBA/MBA/BE degree or equivalent."
4,,D-mart,EL,https://goo.gl/Jl3SQQ,On Campus,"BE Electrical with no active backlogs
60% throughout (10th, 12th & BE Aggregate)
MALE CANDIDATES ONLY

Under Graduate Qualification BE / B.Tech (Electrical) Minimum Marks 60% No Backlogs Accepted"
9,6/30/2017,National Group,All,https://goo.gl/dxUE3R,On Campus,English must be good
12,6/27/2017,Reliance Jio Infocomm Limited,"CO
IT
MCA",https://goo.gl/cTze4Q,On Campus," B.E. / B. Tech (Computer Science / Information Technology / Electronics & Telecommunications)

- 2017 batch with First class in 10th, 12th and Engineering(min aggregate-60%). No year drops during Engineering."
14,6/27/2017,UNIVERSAL EDUCATION,All,https://goo.gl/CxX1nE,On Campus,Abroad Admission Assistant & Counsellor
15,6/21/2017,"SMIS
(Internship)
Only 3rd Year & Final Year","All
",https://goo.gl/2QRgv7,On Campus,Abroad Admission Assistant & Counsellor
16,6/21/2017,AXIS Securities Ltd,All,https://goo.gl/PTY1L4,On Campus,"Team player,learn the new things within a short time span,good communication & inter-personal skills"
17,6/20/2017,Veena Computers,TT,https://goo.gl/Qox9wB,On Campus,"Textile Technicians ,dyeing and printing textiles,evaluating, identifying and selecting fabrics/products from suppliers,checking products for suitability and testing for performance under various condition,Data analysis and MIS preparation."
18,6/20/2017,NatRIX Software Pvt.Ltd,"CO
IT
MCA",https://goo.gl/usgp1v,On Campus," Good communication skill,  Teamwork,Negotiation & persuasion,Problem solving, Ability to work under pressure,  Perseverance and motivation,.Net Developer ,MySQL, MongoDB, SQLite, UI, Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.  "
19,6/20/2017,"ATLUZ      
(AIW)",MCA,https://goo.gl/5J2n1Z,On Campus," programing and should have very well understood the OOP’s concepts with reference to dot net technologies,logical reasoning ,Microsoft technologies with C# and MS SQL,HTML and JavaScript"
20,6/20/2017,Hexxa Geo Systems,"EC
EL
IC",https://goo.gl/keCVUv,On Campus," Pre-sales engineer. Sales engineer,Service enginee"
21,6/20/2017,YOLOdestin Networking Private Limited (Internship),ALL,https://goo.gl/cuiy5o,"On Campus
Internship","Buisness development,Marketing,Administartion,Graphic designer,Web Developer"
22,6/20/2017,"9spl
13-07-2017","CO
IT
MCA",https://goo.gl/boi9iz,On Campus,Web Portals & Mobile Apps
23,6/20/2017,Fairdeal Filaments Ltd.,"TT
TP",https://goo.gl/WBDqKi,On Campus,"Fabric Design & devp.,Lab Assistant-yarn Dyeing,Loom Technician,Trainee loom Technician"
